Entity,n_iUsers
Afghanistan,42626764
Africa,3069902968
Albania,21210289
Algeria,179571734
American Samoa,0
Andorra,785677
Angola,67398225
Antigua and Barbuda,589605
Argentina,391656629
Armenia,18550970
Aruba,951351
Asia,21484484387
Australia,331054571
Austria,128545149
Azerbaijan,84391922
Bahamas,4047537
Bahrain,16200598
Bangladesh,260085079
Barbados,2792096
Belarus,76573768
Belgium,163876157
Belize,1856866
Benin,16640909
Bermuda,946688
Bhutan,3103257
Bolivia,54953990
Bosnia and Herzegovina,28686093
Botswana,10349684
Brazil,1735974590
British Virgin Islands,91634
Brunei,4777717
Bulgaria,63834462
Burkina Faso,23445762
Burundi,4052003
Cambodia,17879361
Cameroon,53026037
Canada,598422254
Cape Verde,3223660
Cayman Islands,478804
Central African Republic,2497516
Chad,9031793
Chile,188934800
China,9269901489
Colombia,346781984
Comoros,487305
Congo,3371430
Costa Rica,42139041
Cote d'Ivoire,45892325
Croatia,45603849
Cuba,60145959
Curacao,222487
Cyprus,13137749
Czechia,129045383
Democratic Republic of Congo,57159387
Denmark,103119068
Djibouti,3631771
Dominica,525223
Dominican Republic,76846666
Ecuador,98350475
Egypt,518265528
El Salvador,24326315
Equatorial Guinea,1906245
Eritrea,307247
Estonia,20027051
Eswatini,2482363
Ethiopia,144414543
Europe,8960903953
Faeroe Islands,662083
Fiji,4231540
Finland,95472832
France,851905689
French Polynesia,1952403
Gabon,10080149
Gambia,6092559
Georgia,23320091
Germany,1297986468
Ghana,96952900
Gibraltar,209493
Greece,105001782
Greenland,621121
Grenada,800130
Guam,1535120
Guatemala,59442282
Guinea,16444112
Guinea-Bissau,2247726
Guyana,2566657
Haiti,27244402
High-income countries,16936687167
Honduras,32280966
Hong Kong,108063637
Hungary,117584566
Iceland,6373272
India,2942444199
Indonesia,858289174
Iran,488213434
Iraq,94958472
Ireland,61456983
Israel,92571585
Italy,624666600
Jamaica,14382267
Japan,2041996793
Jordan,46641838
Kazakhstan,141108258
Kenya,97152251
Kiribati,302620
Kosovo,2982205
Kuwait,42079175
Kyrgyzstan,22500350
Laos,15675799
Latvia,25981691
Lebanon,51890452
Lesotho,6508482
Liberia,6124203
Libya,7272955
Liechtenstein,480873
Lithuania,35023184
Low-income countries,665766164
Lower-middle-income countries,9047408691
Luxembourg,9022066
Macao,6879077
Madagascar,13130401
Malawi,10619340
Malaysia,362263875
Maldives,2843861
Mali,27094737
Malta,5423035
Marshall Islands,92149
Mauritania,9068924
Mauritius,8773709
Mexico,877157567
Micronesia (country),365756
Moldova,20455323
Monaco,433123
Mongolia,10337201
Montenegro,5457480
Morocco,279236524
Mozambique,26877734
Myanmar,85110992
Namibia,7352600
Nauru,13178
Nepal,64037404
Netherlands,304310770
New Caledonia,1921774
New Zealand,73753241
Nicaragua,18629445
Niger,5007131
Nigeria,546009617
North America,6989618464
North Korea,0
North Macedonia,21368256
Northern Mariana Islands,0
Norway,95928138
Oceania,413646730
Oman,35452647
Pakistan,382913620
Palau,13697
Panama,28535225
Papua New Guinea,5027271
Paraguay,36927840
Peru,207164737
Philippines,471037711
Poland,435023898
Portugal,114112912
Puerto Rico,32256961
Qatar,26142293
Romania,164484191
Russia,1365416130
Rwanda,23326673
Saint Kitts and Nevis,412897
Saint Lucia,1159275
Saint Vincent and the Grenadines,577337
Samoa,381897
San Marino,198330
Sao Tome and Principe,776711
Saudi Arabia,309112554
Senegal,42843999
Serbia,65138993
Seychelles,816958
Sierra Leone,7534426
Singapore,78601357
Slovakia,73358739
Slovenia,26613122
Solomon Islands,485188
Somalia,2330827
South Africa,353590580
South America,3263535767
South Korea,850684285
South Sudan,3469459
Spain,592422426
Sri Lanka,34951011
Sudan,50900928
Suriname,3501081
Sweden,180307493
Switzerland,137532000
Syria,79033669
Tajikistan,13392361
Tanzania,72896163
Thailand,423451547
Timor,2427667
Togo,9689367
Tonga,333282
Trinidad and Tobago,10871975
Tunisia,79081509
Turkey,627554130
Turkmenistan,5694502
Turks and Caicos Islands,0
Tuvalu,28785
Uganda,41046948
Ukraine,268654837
United Arab Emirates,110912399
United Kingdom,1055010275
United States,5070162389
United States Virgin Islands,701699
Upper-middle-income countries,17376825240
Uruguay,33005884
Uzbekistan,156507219
Vanuatu,466351
Venezuela,163717100
Vietnam,606611682
World,45422581858
Yemen,51260909
Zambia,19460676
Zimbabwe,32936223
