Entity,n_iUsers
World,45422581858
China,9269901489
United States,5070162389
India,2942444199
Japan,2041996793
Brazil,1735974590
Russia,1365416130
Germany,1297986468
United Kingdom,1055010275
Mexico,877157567
Indonesia,858289174
France,851905689
South Korea,850684285
Turkey,627554130
Italy,624666600
Vietnam,606611682
Canada,598422254
Spain,592422426
Nigeria,546009617
Egypt,518265528
Iran,488213434
Philippines,471037711
Poland,435023898
Thailand,423451547
Argentina,391656629
Pakistan,382913620
Malaysia,362263875
South Africa,353590580
Colombia,346781984
Australia,331054571
